id,timestamp,type,comments,createdAt,updatedAt
82,2017-10-27 23:17:33.834+00,leads-import," Orignal Lead Count: 3533415, N-DNC Removed: 1525233, C-DNC Removed: 5914 Invalid Removed: 212, Final Lead Count: 2002056",2017-10-27 23:17:33.834+00,2017-10-27 23:17:33.834+00
83,2017-10-28 00:23:10.2+00,compmnany-dnc-scrub,"Before Count: 6006165, After Count: 2002055, Leads-removed: 4004110",2017-10-28 00:23:10.202+00,2017-10-28 00:23:10.202+00
84,2017-10-28 00:24:10.49+00,compmnany-dnc-scrub,"Before Count: 2002055, After Count: 2002055, Leads-removed: 0",2017-10-28 00:24:10.49+00,2017-10-28 00:24:10.49+00
85,2017-10-28 00:27:13.413+00,compmnany-dnc-scrub,"Before Count: 2002055, After Count: 2002055, Leads-removed: 0",2017-10-28 00:27:13.415+00,2017-10-28 00:27:13.415+00
86,2017-10-30 18:30:15.352+00,compmnany-dnc-scrub,"Before Count: 2002055, After Count: 2002055, Leads-removed: 0",2017-10-30 18:30:15.354+00,2017-10-30 18:30:15.354+00
87,2017-10-30 18:33:07.062+00,compmnany-dnc-scrub,"Before Count: 2002055, After Count: 2002055, Leads-removed: 0",2017-10-30 18:33:07.063+00,2017-10-30 18:33:07.063+00
88,2017-10-30 19:33:43.209+00,compmnany-dnc-scrub,"Before Count: 2002055, After Count: 2002055, Leads-removed: 0",2017-10-30 19:33:43.211+00,2017-10-30 19:33:43.211+00
89,2017-10-30 19:35:46.85+00,compmnany-dnc-scrub,"Before Count: 2002055, After Count: 2002055, Leads-removed: 0",2017-10-30 19:35:46.852+00,2017-10-30 19:35:46.852+00
90,2017-10-30 19:44:05.406+00,compmnany-dnc-scrub,"Before Count: 2002055, After Count: 2002055, Leads-removed: 0",2017-10-30 19:44:05.408+00,2017-10-30 19:44:05.408+00
91,2017-10-30 19:50:47.413+00,compmnany-dnc-scrub,"Before Count: 2002055, After Count: 2002055, Leads-removed: 0",2017-10-30 19:50:47.415+00,2017-10-30 19:50:47.415+00
92,2017-10-30 20:01:50.116+00,compmnany-dnc-scrub,"Before Count: 0, After Count: 0, Leads-removed: 0",2017-10-30 20:01:50.117+00,2017-10-30 20:01:50.117+00
93,2017-10-30 20:02:57.984+00,compmnany-dnc-scrub,"Before Count: 0, After Count: 0, Leads-removed: 0",2017-10-30 20:02:57.987+00,2017-10-30 20:02:57.987+00
94,2017-10-30 20:24:04.884+00,national-dnc-scrub,"Before Count: 3533215, After Count: 1902171, Leads-removed: 1631044",2017-10-30 20:24:04.888+00,2017-10-30 20:24:04.888+00
95,2017-10-30 20:24:07.756+00,compmnany-dnc-scrub,"Before Count: 1902171, After Count: 1896138, Leads-removed: 6033",2017-10-30 20:24:07.756+00,2017-10-30 20:24:07.756+00
96,2017-10-30 20:30:27.09+00,national-dnc-scrub,"Before Count: 3533215, After Count: 1902171, Leads-removed: 1631044",2017-10-30 20:30:27.092+00,2017-10-30 20:30:27.092+00
97,2017-10-30 20:30:29.938+00,compmnany-dnc-scrub,"Before Count: 1902171, After Count: 1896138, Leads-removed: 6033",2017-10-30 20:30:29.938+00,2017-10-30 20:30:29.938+00
98,2017-10-30 20:30:37.807+00,leads-import," Orignal Lead Count: 3533415, N-DNC Removed: 1631044, C-DNC Removed: 6033 Invalid Removed: NaN, Final Lead Count: undefined",2017-10-30 20:30:37.808+00,2017-10-30 20:30:37.808+00
99,2017-10-30 20:37:09.752+00,national-dnc-scrub,"Before Count: 3533215, After Count: 1902171, Leads-removed: 1631044",2017-10-30 20:37:09.754+00,2017-10-30 20:37:09.754+00
100,2017-10-30 20:37:12.711+00,compmnany-dnc-scrub,"Before Count: 1902171, After Count: 1896138, Leads-removed: 6033",2017-10-30 20:37:12.711+00,2017-10-30 20:37:12.711+00
101,2017-10-30 20:37:20.007+00,leads-import," Orignal Lead Count: 3533415, N-DNC Removed: 1631044, C-DNC Removed: 6033 Invalid Removed: 212, Final Lead Count: 1896126",2017-10-30 20:37:20.007+00,2017-10-30 20:37:20.007+00
102,2017-10-30 20:40:32.668+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:40:32.669+00,2017-10-30 20:40:32.669+00
103,2017-10-30 20:49:19.542+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:49:19.544+00,2017-10-30 20:49:19.544+00
104,2017-10-30 20:49:54.392+00,compmnany-dnc-scrub,"Before Count: 0, After Count: 0, Leads-removed: 0",2017-10-30 20:49:54.393+00,2017-10-30 20:49:54.393+00
105,2017-10-30 20:51:07.944+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:51:07.945+00,2017-10-30 20:51:07.945+00
106,2017-10-30 20:51:47.217+00,compmnany-dnc-scrub,"Before Count: 0, After Count: 0, Leads-removed: 0",2017-10-30 20:51:47.219+00,2017-10-30 20:51:47.219+00
107,2017-10-30 20:52:16.216+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:52:16.218+00,2017-10-30 20:52:16.218+00
108,2017-10-30 20:53:16.009+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:53:16.01+00,2017-10-30 20:53:16.01+00
109,2017-10-30 20:54:17.731+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:54:17.733+00,2017-10-30 20:54:17.733+00
110,2017-10-30 20:54:50.478+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:54:50.48+00,2017-10-30 20:54:50.48+00
111,2017-10-30 20:55:41.361+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:55:41.363+00,2017-10-30 20:55:41.363+00
112,2017-10-30 20:56:49.462+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:56:49.465+00,2017-10-30 20:56:49.465+00
113,2017-10-30 20:58:48.624+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 20:58:48.627+00,2017-10-30 20:58:48.627+00
114,2017-10-30 20:59:49.592+00,compmnany-dnc-scrub,"Before Count: 3792250, After Count: 1896125, Leads-removed: 1896125",2017-10-30 20:59:49.594+00,2017-10-30 20:59:49.594+00
115,2017-10-30 21:01:00.267+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:01:00.269+00,2017-10-30 21:01:00.269+00
116,2017-10-30 21:01:38.054+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:01:38.056+00,2017-10-30 21:01:38.056+00
117,2017-10-30 21:02:31.899+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:02:31.9+00,2017-10-30 21:02:31.9+00
118,2017-10-30 21:03:11.274+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:03:11.276+00,2017-10-30 21:03:11.276+00
